"";"geo";"time";"EMP_DC__THS_PER";"SAL_DC__THS_PER";"B1GQ__CP_MNAC";"B1GQ__CP_MEUR";"B1GQ__CP_PPS";"B1GQ__CLV15_MNAC";"gdp_ind_rel_ameco15";"gdp_ind_rel_ameco24";"gdp_ind_rel_ameco37";"B1GQA__CLV15_MNAC";"B1G__CP_MNAC";"B1G__CP_MEUR";"B1G__CP_PPS";"B1G__CLV15_MNAC";"D1__CP_MNAC";"D1__CP_MEUR";"D1__CP_PPS";"D1_aper__CP_MNAC";"HWCDW_0_1_0";"HWCDW_99_0_0";"nulc_aper";"nulc_aper_eur";"nulc_aper_rel_ameco15";"nulc_aper_usd_rel_ameco15";"rulc_aper";"rulc_aper_rel_ameco15";"P7__CLV15_MNAC";"P61__CLV15_MNAC";"P6__CLV15_MNAC";"exp_ind_rel_ameco15";"exp_ind_rel_ameco24";"exp_ind_rel_ameco37";"P62__CLV15_MNAC";"P7__CP_MNAC";"P7__CP_MEUR";"P61__CP_MNAC";"P61__CP_MEUR";"P6__CP_MNAC";"P6__CP_MEUR";"P62__CP_MNAC";"P62__CP_MEUR";"exp_perf_ameco";"B11__CP_MNAC"
"1";"BE";72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"BE";1960;3529,071;2624,917;14966,4;11432,4;9703,8;96491,5;96,8006745;103,1643992;NA;23468,1075;NA;NA;NA;NA;6219,4;4750,8;4032,5;2369,36;NA;1,80988;14,4708757;11,0538264;132,8092658;106,5791862;93,2965205;86,7125641;23202,5;15169,4;21496,5;NA;NA;NA;7580,4;5025,9;3839,1;3823,6;2920,7;4938,1;3772;1163,6;888,8;128,6363698;10,15
"3";"BE";1961;3553,023;2665,577;15893,8;12014,1;10528;101291;97,1542912;103,6612431;NA;24530,5906;NA;NA;NA;NA;6524,7;4932;4322;2447,76;NA;1,85027;14,3379861;10,8380868;125,1822119;98,6311545;91,3760645;83,7132377;24872,5;16927,2;23466,7;NA;NA;NA;7538,2;5526,6;4177,6;4242,3;3206,7;5420,5;4097,4;1204,6;910,6;132,1522732;-0,45
"4";"BE";1962;3598,786;2727,384;16991;12813,9;11524,7;106539,4;97,7949259;103,8322891;NA;25827,2965;NA;NA;NA;NA;7169;5406,5;4862,6;2628,52;NA;1,98232;14,8268388;11,1817551;123,6734874;97,066647;92,9693222;84,7145216;26913,6;18895,2;25841,9;NA;NA;NA;7790,9;6027,4;4545,6;4701,3;3545,5;6030;4547,6;1368,9;1032,4;135,0120981;129,94
"5";"BE";1963;3603,373;2774,685;18277,6;13784,2;12527;111231,4;97,8294263;103,7380956;NA;26845,6585;NA;NA;NA;NA;7887,7;5948,6;5406;2842,74;NA;2,14387;15,378355;11,5976845;122,2905323;95,9812178;93,5876626;84,6340803;29241,4;20723,1;27970,9;NA;NA;NA;7889,2;6813;5138,1;5247,6;3957,5;6664,9;5026,4;1430,5;1078,8;135,1746055;-43,19
"6";"BE";1964;3625,592;2847,117;20457,2;15427,9;13987,8;118959,4;98,1318717;104,0859013;NA;28787,4756;NA;NA;NA;NA;8893,8;6707,3;6081,2;3123,79;NA;2,35583;15,8983997;11,9898795;121,2007036;95,1258524;92,44992;84,0222905;31830,7;22544;30608,3;NA;NA;NA;8899,9;7653,7;5772,1;5917,1;4462,4;7599,8;5731,5;1738,5;1311,1;133,9262477;104,81
"7";"BE";1965;3621,413;2873,985;22295,6;16814,4;15143,6;123225,4;97,0797134;102,6370399;NA;29922,1168;NA;NA;NA;NA;9842,9;7423,1;6685,5;3424,84;NA;2,58286;16,8077282;12,6756554;122,4048109;96,0709107;92,8945319;84,3688394;33922,4;24175,7;32467,2;NA;NA;NA;8913,9;8170,5;6161,9;6393,7;4821,8;8171,8;6162,8;1819;1371,8;132,12809;136,58
"8";"BE";1966;3627,019;2895,643;23939;18053,8;16241,5;127054;96,7453588;101,6118342;NA;30913,047;NA;NA;NA;NA;10788,7;8136,4;7319,6;3725,84;NA;2,80987;17,7614115;13,3948817;123,4262871;96,8726288;94,2670422;85,1959832;37287,7;25884,6;34961,7;NA;NA;NA;9896,6;9266,2;6988,2;7079,6;5339,2;9125,8;6882,3;2128,7;1605,3;132,6490893;50,34
"9";"BE";1967;3613,871;2885,325;25659;19441,7;17387,9;131969,5;97,33849;102,0817208;NA;32108,2403;NA;NA;NA;NA;11552,9;8753,6;7828,9;4004,03;NA;3,03383;18,3099807;13,8733516;124,5070984;98,0352236;94,1718318;85,8459343;37878,1;26669;36455,1;133,2819108;137,7325857;NA;10963,4;9461,5;7168,9;7292,2;5525,2;9562,1;7245,2;2433,3;1843,7;131,6053758;319,5
"10";"BE";1968;3605,411;2882,464;27435,8;21513,8;18663,8;137475,5;96,1008245;100,7759512;NA;33442,7469;NA;NA;NA;NA;12276,3;9626,4;8351,2;4258,96;NA;3,33966;18,651962;14,6259108;123,1412063;99,2264261;93,4613877;85,6046867;42314,5;30268,7;40903,8;133,6099752;138,5926814;NA;11609,2;10628,3;8334,2;8263,5;6479,8;10746,4;8426,8;2624,9;2058,3;132,2149733;330,41
"11";"BE";1969;3656,984;2946,315;30431,9;24019,5;20957,9;146580,8;96,311052;101,2129674;NA;35864,88;NA;NA;NA;NA;13613;10744,6;9375;4620,34;NA;3,64678;19,2491584;15,1931082;121,2747851;98,4135272;92,7170817;85,5639456;48867,9;35395,2;47171,6;137,2282765;143,3236214;NA;12409,3;12661,2;9993,3;10144,4;8006,9;12965;10233,1;2885;2277,1;133,0524081;456,52
