"";"geo";"time";"nace0";"B1G__CLV15_MNAC";"B1G__CP_MEUR";"B1G__CP_MNAC";"B1G__PYP_MNAC";"cpi10";"D1__CP_MEUR";"D1__CP_MNAC";"EMP_DC__THS_HW";"EMP_DC__THS_PER";"nac_usd";"nulc_va";"nulc_va_eur";"rulc_va";"emp_ind";"lp_ind";"va_ind";"nulc_va_rel_ecfin15";"nulc_va_eur_rel_ecfin15";"nulc_va_rel_tuku16";"nulc_va_eur_rel_tuku16"
"1";"AT";1990;"manu";32904,5574311461;25652,6543112926;26930;NA;65,718;17319,5900738181;18182;1290;740;1,213;101,329025325696;96,4282208744814;118,840547192231;120,915032679739;53,5712824742542;64,7757337106995;112,517875513538;106,228937462739;122,466868783881;108,05301077836
"2";"AT";1990;"manu_ex26_27";29359,6588469244;22432,0221454374;23549;NA;0;15163,9288518926;15919;1149;659;0;97,6561944739754;92,9330274344382;116,362990611552;120,036429872495;55,9427327704803;67,1516591907951;NA;NA;134,154644203523;118,341607341872
"3";"AT";1991;"manu";33790,0967490436;26995,5406714009;28278;27654,7498733536;67,911;18672,9180116204;19560;1289;744;1,183;106,151877737158;101,238418960774;121,75295291488;121,56862745098;54,7172432682403;66,5190016202137;113,488899440212;106,917051850218;122,357773981493;108,878875531749
"4";"AT";1991;"manu_ex26_27";30053,2388914794;23590,3106843125;24711;24105,3115210018;0;16330,2114267269;17106;1147;663;0;102,516129893244;97,7709592106104;119,159784284496;120,765027322404;56,9188140300441;68,7380213149713;NA;NA;132,783693018824;118,136030920436
"5";"AT";1992;"manu";33601,5289648795;27843,7716662815;28800;28120,1928223469;70,642;19555,4156074262;20227;1223;722;1,255;110,387704079894;106,618019263728;123,622729850306;117,97385620915;56,0698702459874;66,1477881006583;116,469759521868;108,877097641373;123,305200869206;110,8314132683
"6";"AT";1992;"manu_ex26_27";29821,0623837307;24343,9642554503;25180;24520,09499626;0;17085,2476696711;17672;1089;643;0;106,732728093625;103,087858877111;120,809625608083;117,12204007286;58,2358241087452;68,2069852494046;NA;NA;132,954848474794;118,257506456024
"7";"AT";1993;"manu";32877,470346128;28410,1844577284;28122;28179,406566831;73,207;20507,0170794193;20299;1193;696;1,183;113,220355588482;114,268545007564;127,053836201597;113,725490196078;56,9110848501178;64,7224102217026;113,643106359062;110,913761572997;117,84814113347;112,391820824823
"8";"AT";1993;"manu_ex26_27";29027,5246349672;24687,4218616567;24437;24509,9608090164;0;17895,5269000854;17714;1062;620;0;109,911125873889;110,928678579687;124,778658689254;112,932604735883;58,7890442949393;66,3919990216072;NA;NA;129,668807154436;121,580090808214
"9";"AT";1994;"manu";34046,3822457527;29776,7255149222;29345;29121,8378857976;75,369;20948,7305590584;20645;1158;678;1,207;111,196772542711;112,722169625624;123,834061226641;110,78431372549;60,4991100349615;67,0235238622613;114,104205169086;111,69755772702;116,58444868323;113,618020065444
"10";"AT";1994;"manu_ex26_27";30020,0852611427;25827,466162253;25453;25272,5932628383;0;18278,0084068937;18013;1031;604;0;108,070994055685;109,553511716139;121,820010574204;110,018214936248;62,4098401269252;68,6621920522092;NA;NA;127,469690459869;122,69508076615
"11";"AT";1995;"manu";35991,4433122405;33025,2431192661;31623;31021,4723072215;77,06;21845,5565749235;20918;1132;673;1,366;106,578391491055;111,195304956098;116,433092712313;109,967320261438;64,4305602650657;70,8525605529235;112,027383245856;112,098860018567;120,801093090599;115,834007298767
"12";"AT";1995;"manu_ex26_27";31868,6904071455;28806,0993883792;27583;27020,3688589457;0;19080,1376146789;18270;1009;600;0;103,254585755478;107,727513903788;114,016737349939;109,289617486339;66,6946586517004;72,8903373242628;NA;NA;130,618662149279;123,921582500476
