"";"geo";"time";"EE";"B11__CP_MNAC";"B1GQ__CP_MNAC";"B1GQ__CLV10_MNAC";"nulc";"WRT";"D1__CP_MNAC";"D1_aper__CP_MNAC";"P6__CP_MNAC";"P6__CLV10_MNAC";"XGSVD";"XMKT";"XPERF";"XSHA";"gdp_ind";"exp_ind";"tbalance_gdp";"nulc_rel15";"nulc_rel";"nulc_rel_imf";"gdp_ind_rel15";"exp_ind_rel15";"eci"
"1";"AT";1991;3036943,96589489;-1522194514,13749;147488020600,185;223764506187,589;79,1222707735755;20549,8962104088;75450379844,2639;24844,1791128112;50980575334,5757;63861872501,5646;70852145605,9459;59633501335,2885;1,1881265399;1,3794792866;68,6758903976559;40,1976238157609;-0,0103208010246737;NA;NA;NA;NA;NA;1,95901
"2";"AT";1992;3062227,34917018;-2305086115,64552;155814388219,141;228449071464,81;82,6273491970026;21671,1061947091;80442341920,3488;26269,2258764352;51623969079,3058;64704456817,5582;71786958574,9925;61929183376,7345;1,1591781881;1,3633058084;70,1136371476673;40,727985454727;-0,0147937949889685;NA;NA;NA;NA;NA;2,00948
"3";"AT";1993;3057658,15838226;-781008496,573097;160953799078,78;229652562784,158;85,6053330745342;22513,5204562258;83780626949,9873;27400,2594830005;50606354460,6525;63168915754,6517;70083338328,4942;61045634659,6079;1,1480483202;1,2666148037;70,4830024207852;39,7614447069771;-0,00485237689972653;NA;NA;NA;NA;NA;2,0734
"4";"AT";1994;3073015,74378657;-3086470212,38659;168981713917,456;235169090092,638;86,8021385634191;23257,3068710877;86992568200,3533;28308,5331978029;54303428059,2945;66762019794,8109;74069740866,6352;65235052221,925;1,1354285517;1,2382872374;72,1760878491562;42,0231110014265;-0,0182651136672354;NA;NA;NA;NA;NA;2,12007
"5";"AT";1995;3092462,75;-2386929000;176637087000;241443363000;87,5010799480281;23966,1002299866;90032678999,7616;29113,5856041472;59189874000;71572486000;79406757127,6944;70904556819,5737;1,1199104922;1,2832775919;74,1017340825662;45,0510414914052;-0,0135131814079339;105,393104269626;104,402178635385;105,727265962147;93,7349380355339;96,2161785090913;2,07826
"6";"AT";1996;3088616,5;-2976470000;182404058000;246890533000;86,6565242772616;24163,8829857964;91175298000;29519,7859624204;62062350000;74376027000;82517171642,0726;74985396013,4908;1,1004432333;1,2176474446;75,7735329584066;46,8157201964855;-0,0163180031882843;103,185199920864;103,242610218602;103,344613445923;94,3185806603502;94,6792808642164;2,03268
"7";"AT";1997;3116803,5;-1885576000;188790074000;252338114000;86,2920306317398;24330,0260093394;92795097000;29772,5207893279;69769478000;83047560000;92137884199,9093;82647891642,4966;1,1148243757;1,1450704406;77,4454579748555;52,273985164075;-0,0099876861110823;102,509634403135;102,538539211328;102,798613203613;93,8786820897931;94,8402962597417;1,91867
"8";"AT";1998;3150789,5;-648295000;196317966000;261205104000;86,4689291054057;25047,9169411349;96252768000;30548,7776952411;75254270000;89656890000;99470666549,9144;88832398282,9938;1,1197566257;1,2384480165;80,1668387861921;56,4342039394908;-0,00330227035868943;101,992066800401;102,134515463309;102,315436639014;94,7884078920038;96,6247564916206;1,84365
"9";"AT";1999;3205220;1050371000;203462334000;270000961000;86,7258971590678;25532,7606950537;99789673000;31133,486312952;79893024000;95080324000;105487745605,071;94039702260,1451;1,1217362781;1,2151407611;82,8663880649282;59,8479647827274;0,00516248378434507;100,720338170696;100,922481181886;101,023964584699;95,500249112507;97,8548896331222;1,80792
"10";"AT";2000;3243358,25;2740778000;213774830000;279916950000;86,6123075241956;26180,0466349963;103319024000;31855,5694549006;92905115000;108741143000;120643867700,626;105082480877,003;1,1480873567;1,0979786983;85,9097186867091;68,4467177109906;0,0128208638968395;99,1540440875797;99,4065566429166;99,4287169161752;95,5101753145479;98,9274382466501;1,79399
"11";"AT";2001;3264697;3784232000;220562315000;283272110000;87,4650822380524;26561,0811885452;105586894000;32342,0194890981;98559860000;114815290000;127382886317,178;107382793685,963;1,1862504405;1,1671706922;86,9394557274595;72,2700674898692;0,0171572011293044;98,7396435264405;98,9374706260359;98,9036720772865;94,9153993968108;101,087168543605;1,73102
"12";"AT";2002;3258047,25;8526345000;226830667000;288067434000;87,5897083564851;27120,2531559357;107527298000;33003,6030017674;102673420000;119426101000;132498393262,664;109028601264,018;1,2152627084;1,2193745747;88,4111955983449;75,1723257357268;0,0375890311163261;97,339234048431;97,6685521893551;97,6549928950107;95,9883137176598;102,670535795181;1,72614
"13";"AT";2003;3275210,25;6351479999,99999;232054908000;290923094000;88,6667144368444;27565,4382001888;109928500000;33563,7994537908;103415522000;120221910000;133381310924,39;114978777486,444;1,1600515664;1,2666571751;89,2876303668178;75,6732448218437;0,0273705911016542;97,0499763074448;97,3366018419809;97,5082222358163;96,5800084869848;101,792731123511;1,76393
"14";"AT";2004;3290099,25;7204361000;241854190000;298184285000;88,6487688799917;28032,5786001744;112649417000;34238,9114857249;112848494000;129703323000;143900552345,155;125966034536,096;1,1423758228;1,2506245197;91,5161730690031;81,6412858154198;0,0297880346832114;96,5893468502458;96,8335107182636;96,8870598269782;97,3509122048344;101,13328390683;1,81965
"15";"AT";2005;3328564,25;8084102000;253875148000;305256709000;89,414000631637;28693,4625561156;116316743000;34945,0196131861;123484928000;139204734000;154441980732,139;136058165809,146;1,1351173214;1,2016642811;93,6867810163715;87,6219144774994;0,0318428253560289;96,932946672548;97,0689864635241;97,018035525326;98,0927096261868;102,303811893777;1,74605
"16";"AT";2006;3384800,25;9895544000;267893231000;316205544000;90,5338051703451;29616,8110324974;121997728000;36042,8146387663;136784876000;150463827000;166933485684,603;150622244957,874;1,1082923756;1,1660382169;97,0471039078477;94,7089096937699;0,0369383875921822;98,1323779588482;98,2268076759303;97,9131773184115;98,2763085972739;100,112170751793;1,7452
"17";"AT";2007;3453305;13173128000;283845078000;327872698999,999;91,791822892806;30598,8381784986;128256900000;37140,3336803439;149604805000;161474423000;179149293340,119;163468370624,305;1,0959263413;1,1940120538;100,627887436406;101,63948937548;0,0464095699415299;98,3784304949557;98,4654411238521;98,1149846582174;99,1200360522297;100,094216449447;1,70293
