"";"geo";"time";"EE";"B11__CP_MNAC";"B1GQ__CP_MNAC";"B1GQ__CLV10_MNAC";"nulc";"WRT";"D1__CP_MNAC";"D1_aper__CP_MNAC";"P6__CP_MNAC";"P6__CLV10_MNAC";"XGSVD";"XMKT";"XPERF";"gdp_ind";"exp_ind";"tbalance_gdp";"year";"nulc_rel15";"nulc_rel";"nulc_rel_imf";"gdp_ind_rel15";"exp_ind_rel15";"eci"
"1";"AT";1991-01-01;3017284,7174138;-738918228,502762;143617789599,188;220957771457,235;78,2522058192439;20089,9205899081;73686672036,716;NA;50037087453,6565;62896374199,0528;69780964576,7616;59496811159,9844;1,1728521784;67,8144713549259;39,5898944141814;-0,0051450327328178;1991;NA;NA;NA;NA;NA;1,95901
"2";"AT";1991-04-01;3031989,69969307;-1233826478,97587;146220621946,555;222882658660,939;78,4860368470084;20399,8664030724;74550704613,6984;NA;50654954926,8282;63499490930,2648;70450098017,1595;59502664083,0617;1,1839822486;68,4052412892719;39,9695240512181;-0,00843811538037942;1991;NA;NA;NA;NA;NA;1,95901
"3";"AT";1991-07-01;3044482,4712396;-1810246791,21217;148831539660,246;224778450558,779;79,6057951776188;20704,2173329875;76257476766,612;NA;51342640136,1595;64218983484,4002;71248345691,5718;59566244825,1732;1,1961194784;68,9870815409322;40,4224060275282;-0,0121630589547391;1991;NA;NA;NA;NA;NA;1,95901
"4";"AT";1991-10-01;3054018,97523311;-2305786557,85915;151282131194,749;226439144073,401;80,10919470371;20999,4475390391;77306665960,0291;NA;51887618821,6587;64832641392,5404;71929174138,2905;59968285272,9347;1,1994535747;69,4967674054932;40,8086707701159;-0,015241631907544;1991;NA;NA;NA;NA;NA;1,95901
"5";"AT";1992-01-01;3059955,55001192;-2712821166,07262;153541733386,848;227783015506,258;81,1846011241663;21291,8046309385;78809409293,2426;NA;52185960015,1733;65275139745,3459;72420108031,9467;61900585406,6375;1,1699422155;69,9092169436432;41,0871997519389;-0,0176682984243618;1992;NA;NA;NA;NA;NA;2,00948
"6";"AT";1992-04-01;3063029,63187551;-2626815128,25439;155269570603,898;228479807901,838;82,1520044479193;21557,7193313983;79992461751,0476;NA;51974862224,8022;65102965237,759;72229087430,7127;61829333130,6526;1,168200978;70,1230705123081;40,9788251331635;-0,0169177715764768;1992;NA;NA;NA;NA;NA;2,00948
"7";"AT";1992-07-01;3063539,45383036;-2225324174,37118;156639351476,28;228737390079,338;82,7921001967689;21804,2032098264;80706615280,1285;NA;51457264166,4271;64559119507,4717;71625712750,953;61698623543,4017;1,1608964453;70,2021254334472;40,6365034124942;-0,0142066738236475;1992;NA;NA;NA;NA;NA;2,00948
"8";"AT";1992-10-01;3062384,76096295;-1655383993,88388;157806897409,539;228796072371,807;84,3648853098326;22030,3704205503;82260881356,9767;NA;50877789910,8207;63880602779,6561;70872926086,3577;62288191426,2461;1,1378228275;70,2201357012709;40,2094135213113;-0,0104899343505109;1992;NA;NA;NA;NA;NA;2,00948
"9";"AT";1993-01-01;3058259,99718203;-744396522,190277;158630460520,279;228504729305,863;84,9968831589273;22229,045088089;82771584003,212;NA;50148945351,8736;62927587548,7312;69815594516,4993;60452144933,2236;1,1548902788;70,1307191767033;39,6095415438262;-0,00469264553446288;1993;NA;NA;NA;NA;NA;2,0734
"10";"AT";1993-04-01;3056886,10616779;-507591537,389809;159994080977,984;228998309517,813;85,6042275587294;22423,0609303147;83543095341,0614;NA;50180040358,8454;62790789975,5388;69663823182,6078;60729190914,2776;1,1471225309;70,2822045982112;39,5234348079806;-0,00317256447417987;1993;NA;NA;NA;NA;NA;2,0734
"11";"AT";1993-07-01;3056813,56451171;-669863413,171341;161639703397,957;229916296579,599;85,5042873324908;22609,111763665;83780070200,6771;NA;50646056315,7219;63116958556,2926;70025693933,8153;61161970336,2767;1,1449221395;70,5639453439433;39,7287404370842;-0,00414417620850328;1993;NA;NA;NA;NA;NA;2,0734
"12";"AT";1993-10-01;3058672,9656675;-1202182513,54096;163550951418,903;231190915733,357;86,2992240637172;22792,8308992983;85027758254,9986;NA;51450375816,169;63840326938,0442;70828241681,0544;61839232454,6539;1,1453609443;70,9551405642829;40,1840620390174;-0,00735050761314014;1993;NA;NA;NA;NA;NA;2,0734
"13";"AT";1994-01-01;3063417,92826379;-2382371147,52496;165846594496,918;232922300841,337;86,3514376350233;22974,231863916;85716359349,0586;NA;52654584161,7069;65060312594,6029;72181766060,9344;62652862326,5069;1,1520904773;71,4865224886892;40,9519775817658;-0,0143649084550195;1994;NA;NA;NA;NA;NA;2,12007
"14";"AT";1994-04-01;3069310,9999692;-3053800282,14241;167973687736,534;234435910856,482;86,1554909684746;23162,1617218574;86077604503,0935;NA;53722256574,4805;66160523714,8524;73402405472,7728;64681406296,1656;1,1348300799;71,9510667422704;41,644501477438;-0,0181802300306241;1994;NA;NA;NA;NA;NA;2,12007
"15";"AT";1994-07-01;3076261,74881892;-3446777417,45892;170055362666,125;235919788367,055;87,1030643014563;23351,5855468229;87575147363,5082;NA;54831231348,805;67314952698,1121;74683197394,6136;65714280874,4347;1,1364835223;72,4064857495826;42,3711526101612;-0,0202685605641622;1994;NA;NA;NA;NA;NA;2,12007
"16";"AT";1994-10-01;3083072,2980944;-3462932002,42009;172051210770,249;237398360305,678;87,5746938227786;23539,2273507934;88601161585,7529;NA;56005640152,1854;68512290171,6761;76011594538,2198;67891659390,5927;1,1196013652;72,8602764160827;43,1248123363407;-0,0201273329430059;1994;NA;NA;NA;NA;NA;2,12007
"17";"AT";1995-01-01;3087731;-1565184000;173934432000;239120728000;87,9122885778805;23922,7430653771;89588008647,2322;NA;59232368000;71658672000;79502376983,2043;68705688925,3191;1,1571440186;73,3888907929337;45,1052909562341;-0,00899870130371886;1995;NA;NA;NA;92,8824510688789;98,2952565610326;2,07826
"18";"AT";1995-04-01;3091671;-2922372000;175913088000;240930084000;87,6138720930334;23955,8035534829;89959488925,2311;NA;58769180000;71187556000;78979692975,9593;70920663547,4353;1,1136344335;73,9442028773363;44,8087487002719;-0,016612589962607;1995;NA;NA;NA;93,0171552996914;96,2580551635924;2,07826
"19";"AT";1995-07-01;3094188;-1348708000;177530624000;241710352000;87,5154017140955;23988,00278199;90149394581,828;NA;59996728000;72489012000;80423605382,5282;71294652871,66;1,1280454023;74,1836760652952;45,6279454549472;-0,00759704421474911;1995;NA;NA;NA;92,9505914029506;97,7840194088937;2,07826
"20";"AT";1995-10-01;3096261;-3711452000;179170204000;244012288000;86,9633226047853;23997,7314728959;90433823844,755;NA;58761220000;70954704000;78721353169,0858;72697221933,8806;1,0828660446;74,8901665946997;44,6621808541675;-0,020714671955165;1995;NA;NA;NA;93,5989369170031;94,3787366125862;2,07826
"21";"AT";1996-01-01;3078510;-3405664000;179881280000;244791644000;86,9693331335687;24184,2870206691;90728932696,0618;NA;60389732000;72600568000;80547372219,3842;73677010662,4076;1,0932497328;75,1293598794108;45,6981639741783;-0,0189328428172181;1996;NA;NA;NA;94,0347931583891;95,2296632205736;2,03268
"22";"AT";1996-04-01;3083807;-3220252000;181849416000;246904040000;86,4656545441457;24148,4936832947;90981879164,9019;NA;61300508000;73410936000;81446442498,4304;73914403849,6732;1,1019021768;75,777678411443;46,2082471699934;-0,0177083439190148;1996;NA;NA;NA;93,9028149224253;95,7212480000105;2,03268
"23";"AT";1996-07-01;3094040;-3729436000;183301768000;247748852000;86,5556128948163;24165,566293907;91388165547,8721;NA;61868408000;74073476000;82181503634,4567;75082363960,7969;1,0945513607;76,0369608924187;46,6252805678513;-0,0203458812246699;1996;NA;NA;NA;93,7729308913239;94,8351648692285;2,03268
"24";"AT";1996-10-01;3098109;-1550528000;184583768000;248117596000;86,6294058359218;24157,2451918251;91602214591,1642;NA;64690752000;77419128000;85893368216,0193;77267805581,0854;1,1116320383;76,1501326503541;48,7311890739188;-0,00840013191192413;1996;NA;NA;NA;93,2950371863208;95,2851105286641;2,03268
"25";"AT";1997-01-01;3106817;-3197672000;186044660000;249509360000;86,4031057709527;24172,9389906132;91875405469,3638;NA;65963488000;78818144000;87445519467,6854;79634625094,6073;1,0980841482;76,577280966018;49,6117946164333;-0,0171876580601668;1997;NA;NA;NA;93,7050953895276;94,9239764936745;1,91867
