CODE;COUNTRY;SUB-CHAPTER;TITLE;UNIT;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
EU27.1.0.0.0.UWCD;European Union;01 Compensation of employees;Compensation of employees: total economy ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3068.915;3195.857;3252.028;3358.368;3527.445;3739.034;3902.277;4042.282;4144.749;4272.297;4436.548;4643.862;4893.050;5148.399;5074.152;5190.317;5319.658;5388.354;5447.881;5560.185;5712.488;5893.804;6140.530;6402.226;6645.081;6527.698;6903.065;7259.825;7593.808                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
EU15.1.0.0.0.UWCD;European Union (15 countries);01 Compensation of employees;Compensation of employees: total economy ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3067.898;3210.968;3218.784;3301.688;3410.474;3554.030;3731.200;3870.276;4113.354;4420.627;4592.934;4738.396;4800.298;4988.442;5156.818;5404.191;5670.260;5715.004;5575.583;5725.828;5852.526;6000.323;6053.547;6233.041;6526.479;6580.606;6744.652;6990.374;7253.967;7154.546;7606.868;8037.934;8384.619                                                                                                                                                                                                                                                                                                                                                                                                                                                           
EA19.1.0.0.0.UWCD;Euro area;01 Compensation of employees;Compensation of employees: total economy ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2808.898;2905.979;2945.558;3035.138;3191.876;3363.827;3501.519;3624.533;3723.113;3831.188;3953.179;4122.767;4318.026;4512.698;4498.852;4567.242;4668.051;4715.803;4761.878;4862.805;4992.260;5139.459;5331.188;5548.147;5750.047;5626.469;5934.501;6238.418;6512.947                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
EA12.1.0.0.0.UWCD;Euro area (12 countries);01 Compensation of employees;Compensation of employees: total economy ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2426.923;2576.215;2614.631;2672.412;2784.522;2879.004;2914.986;3002.203;3158.025;3326.335;3461.635;3581.536;3676.711;3780.806;3896.569;4058.055;4241.102;4425.044;4416.543;4485.219;4582.743;4628.060;4672.872;4770.375;4894.661;5035.869;5219.324;5426.421;5617.817;5491.307;5789.375;6082.464;6346.456                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DU15.1.0.0.0.UWCD;EU15 (including D_W West-Germany);01 Compensation of employees;Compensation of employees: total economy ;Mrd ECU/EUR, Standard aggregation;147.075;162.758;179.800;198.836;220.395;241.504;262.464;278.170;301.371;336.151;387.264;436.888;490.900;571.581;678.740;788.465;898.350;993.001;1086.568;1225.537;1389.632;1533.476;1651.140;1731.473;1845.256;1967.370;2063.101;2170.493;2336.316;2539.342;2761.446;2970.992;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DA12.1.0.0.0.UWCD;EA12 (including D_W West-Germany);01 Compensation of employees;Compensation of employees: total economy ;Mrd ECU/EUR, Standard aggregation;97.674;109.542;123.092;138.741;154.818;170.071;185.254;197.725;221.011;248.881;289.288;330.078;375.048;449.115;534.000;616.029;711.060;794.191;869.848;972.906;1079.995;1174.743;1277.805;1350.210;1434.845;1521.253;1630.577;1722.387;1819.791;1970.721;2164.756;2330.017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
BEL.1.0.0.0.UWCD;Belgium;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-BEF;6.2194;6.5247;7.1690;7.8877;8.8938;9.8429;10.7887;11.5529;12.2763;13.6130;15.2836;17.4144;20.0271;23.1413;27.9794;32.1203;37.0121;40.1703;43.1271;46.1592;50.9734;53.3076;56.2334;58.6764;62.8526;66.1541;68.9220;70.7190;73.6945;79.0451;85.1976;91.6780;96.2754;99.6123;103.4726;106.5048;108.6395;112.8635;116.8765;122.9643;128.5636;135.7096;141.9848;144.6686;148.8507;153.9854;161.3932;170.1056;179.6282;180.9057;184.7111;193.1709;199.8060;203.6058;206.2012;208.1279;211.8132;219.2205;226.4093;234.5742;230.2489;243.8452;261.2551;277.7148                                                                                                                                                                                                                                                                                                                                                     
BGR.1.0.0.0.UWCD;Bulgaria;01 Compensation of employees;Compensation of employees: total economy ;Mrd BGN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.37990;0.65799;5.96921;9.23344;9.34916;9.96802;11.04476;11.74600;12.68486;13.84657;15.70339;17.40729;20.42507;24.43126;25.85067;27.17078;28.56231;30.21385;32.49939;34.25022;36.53802;39.34773;43.62006;48.23805;52.37116;54.57524;60.36029;66.39632;71.84082                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CZE.1.0.0.0.UWCD;Czechia;01 Compensation of employees;Compensation of employees: total economy ;Mrd CZK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;466.826;557.663;630.080;740.884;811.184;853.027;879.000;936.368;1012.222;1085.736;1145.460;1242.104;1330.849;1428.038;1550.227;1661.212;1610.110;1639.680;1677.353;1719.788;1735.350;1799.718;1891.335;2002.589;2185.084;2399.164;2585.613;2622.305;2801.030;2938.280;3102.824                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DNK.1.0.0.0.UWCD;Denmark;01 Compensation of employees;Compensation of employees: total economy ;Mrd DKK;20.097;23.154;26.271;27.831;31.579;36.593;40.777;45.385;50.493;57.580;65.214;73.729;81.826;93.844;110.260;123.924;141.806;156.923;173.968;194.401;214.133;232.681;263.929;288.504;311.367;336.627;362.841;393.322;414.491;432.128;450.271;464.902;478.117;480.819;496.432;518.700;546.120;572.745;605.624;635.827;662.277;696.905;722.152;741.113;762.991;800.932;848.967;902.639;949.819;945.677;953.668;966.474;977.516;993.804;1017.743;1049.061;1083.211;1118.479;1154.314;1194.335;1213.972;1288.733;1362.191;1418.041                                                                                                                                                                                                                                                                                                                                                                                      
