			"IFERROR(INDEX('A00 VaN'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 VaN'!$CA$5:$CA$1439,0),MATCH($C4,'A00 VaN'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 VaR'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 VaR'!$CA$5:$CA$1439,0),MATCH($C4,'A00 VaR'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 EmA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 EmA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 EmA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 HrA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 HrA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 HrA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 CmA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 CmA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 CmA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 XR'!$C$5:$BS$45,MATCH($A4,'A00 XR'!$A$5:$A$45,0),MATCH($C4,'A00 XR'!$C$4:$BS$4,0)),"""")"	"IFERROR(INDEX('A00 CPI'!$C$5:$BS$45,MATCH($A4,'A00 CPI'!$A$5:$A$45,0),MATCH($C4,'A00 CPI'!$C$4:$BS$4,0)),"""")"
			Nominal Value Added	Real Value Added	Employment	Total Hours	Total Labor Cost	National Currency per US dollar	Consumer Price Index (2010=100)
COUNTRY	INDUSTRY	YEAR	VaN	VaR	EmA	HrA	CmA	XR	CPI
AUS	C	1950						1.120	4.553
AUS	C	1951						1.121	5.437
AUS	C	1952						1.121	6.374
AUS	C	1953						1.121	6.660
AUS	C	1954						1.121	6.764
AUS	C	1955						1.121	6.868
AUS	C	1956						1.121	7.258
AUS	C	1957						1.121	7.466
AUS	C	1958						1.121	7.518
AUS	C	1959						1.121	7.674
AUS	C	1960						1.121	7.960
AUS	C	1961						1.121	8.143
AUS	C	1962						1.121	8.117
AUS	C	1963						1.121	8.169
AUS	C	1964						1.121	8.403
AUS	C	1965						1.121	8.689
AUS	C	1966						1.121	8.975
AUS	C	1967						1.121	9.287
AUS	C	1968						1.121	9.521
AUS	C	1969						1.121	9.834
AUS	C	1970						1.121	10.172
AUS	C	1971	"8,457"	"63,690"	"1,540"	"2,751"	"6,552"	1.134	10.796
AUS	C	1972	"9,158"	"64,994"	"1,550"	"2,767"	"7,162"	1.193	11.446
AUS	C	1973	"10,067"	"67,855"	"1,554"	"2,774"	"7,866"	1.423	12.487
AUS	C	1974	"11,717"	"72,440"	"1,600"	"2,858"	"9,509"	1.437	14.412
AUS	C	1975	"13,706"	"69,461"	"1,507"	"2,689"	"11,763"	1.310	16.597
AUS	C	1976	"15,656"	"68,719"	"1,451"	"2,588"	"13,150"	1.223	18.809
AUS	C	1977	"17,623"	"70,417"	"1,428"	"2,547"	"14,555"	1.110	21.124
AUS	C	1978	"18,922"	"70,113"	"1,394"	"2,485"	"15,653"	1.145	22.815
AUS	C	1979	"20,630"	"72,999"	"1,390"	"2,479"	"16,395"	1.119	24.896
AUS	C	1980	"23,361"	"76,146"	"1,398"	"2,493"	"18,507"	1.140	27.419
AUS	C	1981	"26,758"	"77,706"	"1,385"	"2,471"	"21,186"	1.149	30.021
