COUNTRY	INDUSTRY	YEAR	Nominal Value Added	Real Value Added	Employment	Total Hours	Total Labor Cost	National Currency per US dollar	Consumer Price Index (2010=100)	
AUS	C	1950						1.120	4.553	
AUS	C	1951						1.121	5.437	
AUS	C	1952						1.121	6.374	
AUS	C	1953						1.121	6.660	
AUS	C	1954						1.121	6.764	
AUS	C	1955						1.121	6.868	
AUS	C	1956						1.121	7.258	
AUS	C	1957						1.121	7.466	
AUS	C	1958						1.121	7.518	
AUS	C	1959						1.121	7.674	
AUS	C	1960						1.121	7.960	
AUS	C	1961						1.121	8.143	
AUS	C	1962						1.121	8.117	
AUS	C	1963						1.121	8.169	
AUS	C	1964						1.121	8.403	
AUS	C	1965						1.121	8.689	
AUS	C	1966						1.121	8.975	
AUS	C	1967						1.121	9.287	
AUS	C	1968						1.121	9.521	
AUS	C	1969						1.121	9.834	
AUS	C	1970			"1,513"	"2,925"		1.121	10.172	
AUS	C	1971	"9,241"	"40,573"	"1,516"	"2,930"	"6,427"	1.134	10.796	
AUS	C	1972	"9,852"	"43,253"	"1,514"	"2,927"	"7,017"	1.193	11.446	
AUS	C	1973	"11,055"	"48,538"	"1,562"	"3,022"	"8,089"	1.423	12.487	
AUS	C	1974	"12,839"	"56,368"	"1,454"	"2,813"	"9,881"	1.437	14.412	
AUS	C	1975	"14,646"	"64,301"	"1,398"	"2,703"	"11,581"	1.310	16.597	
AUS	C	1976	"16,536"	"65,875"	"1,371"	"2,651"	"12,876"	1.223	18.809	
AUS	C	1977	"18,239"	"66,917"	"1,336"	"2,583"	"14,038"	1.110	21.124	
AUS	C	1978	"19,610"	"67,926"	"1,335"	"2,580"	"14,894"	1.145	22.815	
AUS	C	1979	"21,759"	"71,464"	"1,346"	"2,602"	"16,239"	1.119	24.896	
AUS	C	1980	"25,010"	"73,263"	"1,337"	"2,583"	"18,508"	1.140	27.419	
AUS	C	1981	"28,515"	"75,301"	"1,337"	"2,585"	"21,184"	1.149	30.021	
AUS	C	1982	"30,582"	"73,606"	"1,203"	"2,323"	"23,253"	1.017	33.429	
AUS	C	1983	"32,604"	"68,868"	"1,142"	"2,201"	"24,561"	0.902	36.785	
AUS	C	1984	"35,998"	"72,657"	"1,152"	"2,221"	"26,315"	0.880	38.241	
AUS	C	1985	"39,275"	"75,439"	"1,143"	"2,203"	"28,414"	0.701	40.817	
