time;manu;manu_ex26_27
1990;100,00;100,00
1991;98,83;98,70
1992;119,52;118,77
1993;138,77;136,32
1994;134,29;130,38
1995;121,55;117,44
1996;125,90;120,65
1997;130,79;122,96
1998;133,02;118,54
1999;136,06;120,42
2000;148,19;122,59
2001;147,65;121,29
2002;151,89;121,49
2003;153,92;115,73
2004;154,29;115,36
2005;153,93;111,52
2006;159,98;113,68
2007;166,88;114,58
2008;162,77;106,25
2009;145,85;101,43
2010;153,33;106,40
2011;147,42;107,13
2012;133,59;105,61
2013;140,75;104,40
2014;140,75;101,58
2015;141,74;104,57
2016;147,43;108,24
2017;159,75;115,07
2018;156,03;111,65
